route_id,service_id,trip_id,trip_short_name
187,1,4206-1,R
188,1,4335,R
189,45,4331,R
190,46,4074,R
191,47,4361,R
192,48,4308,R
193,1,7569,R
194,44,1590,IR
195,1,9477,R
196,1,9476,R
197,1,36313,R
197,1,36329,R
198,49,4321,R
199,50,4322,R
200,51,4454,R
201,1,36326,R
117,18,4340,R
202,1,2611,R
203,1,5311,R
204,1,5213,R
205,52,4083,R
115,53,3620,R
115,18,3628,R
206,1,3629,R
179,18,3627,R
179,54,3637,R
125,1,3635,R
170,18,3622,R
132,18,3641,R
207,1,9576,R
208,1,9552,R
131,18,4044,R
209,18,4371,R
210,18,4374,R
131,18,4046,R
211,1,4532,R
212,55,2423,R
213,18,3633,R
199,56,4320,R
214,1,6444,R
215,1,9370,R
216,44,1655,IR
217,1,9343,R
218,57,7375,R
219,58,8658,R
220,1,2569,R
221,59,4362,R
207,1,9578,R
222,18,8121,R
223,18,6501,R
134,57,4544,R
224,60,1593,IR
225,1,1750,IR
226,61,1942,IR-N
227,1,8151,R
217,57,9345,R
228,57,2386,R
229,62,2094,R
230,63,8804,R
231,1,3074,R
232,51,2083,R
233,1,9010,R
234,1,37656,R
193,1,7575,R
235,64,1577,IR
236,1,2070,R
237,1,4452,R
238,44,2382,R
239,1,9553,R
240,57,5003,R
241,65,9666,R
242,66,4066,R
243,44,1660,IR
244,1,8588,R
134,1,4546,R
245,1,2203,R
246,67,4525,R
247,68,1926,IR
248,1,3010,R
249,56,4655,R
250,1,4334,R
179,69,3623,R
251,1,5462,R
216,70,1759,IR-N
252,1,5201,R
253,1,1772,IR
254,71,2085,R
255,1,1832,IR
256,57,9346,R
257,1,5011,R
258,72,8391,R
259,1,3112,R
260,53,4650,R
261,44,1661,IR
262,1,9358,R
258,63,8807,R
263,1,2307,R
264,1,9305,R
265,62,1743,IR
266,73,1095,IR
267,1,5022,R
268,1,1692,IR
269,44,1686,IR
270,57,9301,R
271,1,5523,R
216,74,1757,IR-N
272,1,7033,R
273,57,9167,R
274,1,4511,R
275,75,5723,R
276,76,4705,R
260,56,4652,R
277,1,5510,R
278,57,5008,R
279,68,9170,R
280,77,8367,R
281,1,1541,IR
282,78,8221,R
283,1,1781,IR
284,1,1831-2,IR
285,44,2873,R
286,1,7032,R
287,79,2022,R
288,1,9005,R
46,52,4580,R
289,63,8806,R
290,52,9135,R
291,80,1968,IR
292,52,9485,R
293,1,6412,R
294,1,9613,R
295,1,9351,R
296,1,1749,IR
252,1,5207,R
117,81,4342,R
297,44,1723,IR
298,52,9383,R
299,1,5605,R
300,52,9610,R
301,1,9107,R
302,82,8021,R
122,1,4547,R
131,1,4042,R
303,51,9580,R
304,57,5628,R
305,52,4082,R
191,83,4367,R
263,57,2311,R
306,84,5720,R
307,44,1794,IR
308,1,9573,R
309,1,6812,R
310,57,5033,R
